Renner ,  R$ 5.600.000 ,,,
,,,,
Reta Engenharia ,  R$ 5.000 ,,,
,,,,
Reval Bombas e Válvulas ,  R$ 5.000 ,,,
,,,,
Riachuelo ,  R$ 15.000.000 ,,,
,,,,
Rubens Menin ,  R$ 18.000.000 ,,,
,,,,
Rumo ,  R$ 170.000 ,,,
,,,,
Salum Construções ,  R$ 10.000 ,,,
,,,,
Samarco ,  R$ 1.000.000 ,,,
,,,,
Samambaia Filantropias ,  R$ 335.000 ,,,
,,,,
Samsung ,  R$ 5.000.000 ,,,
,,,,
Santander ,  R$ 16.666.666 ,,,
,,,,
Senai ,  R$ 63.000.000 ,,,
,,,,
Sesi e Senai - SP,  R$ 15.000.000 ,,,
,,,,
SESI - CE,  R$ 1.000.000 ,,,
,,,,
Shell ,  R$ 11.800.000 ,,,
,,,,
Sicoob Credinor ,  R$ 100.000 ,,,
,,,,
Sindicato do Calvário ,  R$ 50.000 ,,,
,,,,
Sindicato dos Funcionários do Fisco do Estado de Goiás ,  R$ 15.000 ,,,
,,,,
Sindicatos ,  R$ 1.130.050 ,,,
,,,,
Sinduscon,  R$ 3.000.000 ,,,
,,,,
"Simecs, Randon e Marcopolo ",  R$ 3.000.000 ,,,
,,,,
SIMINERAL ,  R$ 14.000 ,,,
,,,,
Sistema de Crédito Cooperativo (Sicredi) ,  R$ 121.000 ,,,
,,,,
Souza Cruz ,  R$ 250.000 ,,,
,,,,
Statkfraf Brasil ,  R$ 650.000 ,,,
,,,,
Stone ,  R$ 35.500.000 ,,,
,,,,
SulAmérica ,  R$ 1.000.000 ,,,
,,,,
Suzano ,  R$ 50.000.000 ,,,
,,,,
Ternium ,  R$ 4.000.000 ,,,
,,,,
Tetra Pak ,  R$ 2.000.000 ,,,
,,,,
Tirolez ,  R$ 1.000.000 ,,,
,,,,
Total e Barra Energia ,  R$ 750.000 ,,,
,,,,
Total e GALP ,  R$ 2.000.000 ,,,
,,,,
Tramontina ,  R$ 1.000.000 ,,,
,,,,
Transire Eletrônicos ,  R$ 10.000.000 ,,,
,,,,
Tik Tok ,  R$ 2.700.000 ,,,
,,,,
Trisul ,  R$ 1.000.000 ,,,
,,,,
Uber ,  R$ 36.000.000 ,,,
,,,,
Unicred ,  R$ 180.000 ,,,
,,,,
Unilever ,  R$ 6.800.000 ,,,
,,,,
Unipar Carbocloro ,  R$ 4.000.000 ,,,
,,,,
UnitedHealth Group Brasil ,  R$ 38.000.000 ,,,
,,,,
Universidade Santo Amaro (UNISA) ,  R$ 100.000 ,,,
,,,,
Ultragas ,  R$ 2.400.000 ,,,
,,,,
Vale ,  R$ 500.000.000 ,,,
,,,,
Vale Verde Empreendimentos ,  R$ 62.500 ,,,
,,,,
Vasco da Gama ,  R$ 110.000 ,,,
,,,,
Veracel e Suzano ,  R$ 1.300.000 ,,,
,,,,
Verde Asset Management ,  R$ 5.000.000 ,,,
,,,,
Via Varejo ,  R$ 5.300.000 ,,,
,,,,
Vince Partners ,  R$ 33.000 ,,,
,,,,
Virtua Software ,  R$ 5.000 ,,,
,,,,
Vivara ,  R$ 1.000.000 ,,,
,,,,
Vivo ,  R$ 4.000.000 ,,,
,,,,
VLI ,  R$ 7.000.000 ,,,
,,,,
Votorantim ,  R$ 50.000.000 ,,,
,,,,
Weg ,  R$ 800.000 ,,,
,,,,
Wildlife Studios ,  R$ 3.000.000 ,,,
,,,,
Whirpool ,  R$ 1.300.000 ,,,
,,,,
WPA Participações e Serviços S.A ,  R$ 2.600.000 ,,,
,,,,
XP Investimentos ,  R$ 30.000.000 ,,,
,,,,
Yara ,  R$ 1.000.000 ,,,
,,,,
Yes Intercâmbio ,  R$ 84.223 ,,,
,,,,
Ypê ,  R$ 17.000.000 ,,,
,,,,
Zezé de Camargo e Júlio Aidar ,  R$ 1.000.000 ,,,
,,,,
Zurich ,  R$ 9.600.000 ,,,
,,,,
,,,,
,,,,
,,,,
